, 2013-09-14, 2013-10-13, 2013-11-03, 2013-12-01, 2014-01-25, 2014-02-16, 2014-02-22_spb_city_champs, 2014-03-09, 2014-03-30, 2014-04-19_chronos_protocol, 2014-05-10_spb, 2014-05-11_team, 2014-05-31_spb_regionals, 2014-06-07_draft, 2014-06-15, 2014-07-05_msk_regional, 2014-07-28_spb, 2014-08-02, 2014-08-30, 2014-09-06_draft, 2014-10-04_national,
21, , Пинчук Сергей:984.876, Ковалев Александр:989.712, Ковалев Александр:989.712, Ефремов Александр:994.635, Ефремов Александр:994.635, Семенов Олег:1004.709, Семенов Олег:1004.709, Воронцов Денис:1006.399, Дмитриев Павел:1010.829, Овсяников Денис:1010.549, Овсяников Денис:1010.549, Телегин Антон:1010.190, Телегин Антон:1010.190, Дмитриев Павел:1009.970, Телегин Антон:1010.190, Малахов Алексей:1010.190, Гребенщиков Леонид:1016.896, Селин Станислав:1018.486, Селин Станислав:1018.486, Гребенщиков Леонид:1016.896,21
22, , Павлов Алексей:981.125, Обернихен Константин:987.512, Обернихен Константин:987.512, Смирнов Михаил:991.498, Колмаков Петр:994.407, Абдулазизов Озод:1004.133, Сизякин Артем:1004.195, Семенов Олег:1004.709, Овсяников Денис:1010.549, Малахов Алексей:1010.190, Малахов Алексей:1010.190, Дмитриев Павел:1009.970, Дмитриев Павел:1009.970, Елисеев Борис:1007.122, Дмитриев Павел:1009.970, Телегин Антон:1010.190, Щербаков Григорий:1011.902, Гребенщиков Леонид:1016.896, Гребенщиков Леонид:1016.896, Дмитриев Павел:1016.212,22
23, , Рыжов Александр:979.817, Чепрасов Дмитрий:985.183, Чепрасов Дмитрий:985.183, Гончаренко Сергей:991.225, Николаев Денис:993.102, Нестеренко Виталий:1003.347, Нестеренко Виталий:1003.347, Нестеренко Виталий:1003.347, Малахов Алексей:1010.190, Телегин Антон:1010.190, Телегин Антон:1010.190, Елисеев Борис:1007.122, Елисеев Борис:1007.122, Воронцов Денис:1006.399, Елисеев Борис:1007.122, Воронцов Денис:1006.399, Малахов Алексей:1010.190, Щербаков Григорий:1011.902, Щербаков Григорий:1011.902, Ярцев Александр:1014.608,23
24, , Ларин Филипп:979.536, Пинчук Сергей:984.876, Пинчук Сергей:984.876, Яник Петр:991.095, Смирнов Михаил:991.498, Игнатов Владимир:1002.109, Игнатов Владимир:1002.109, Смирнов Виктор:1002.386, Телегин Антон:1010.190, Елисеев Борис:1007.122, Елисеев Борис:1007.122, Воронцов Денис:1006.399, Воронцов Денис:1006.399, Овсяников Денис:1004.933, Воронцов Денис:1006.399, Сергеев Влад:1005.854, Телегин Антон:1010.190, Малахов Алексей:1010.190, Малахов Алексей:1010.190, Щербаков Григорий:1011.902,24
25, , Ковалев Александр:971.650, Павлов Алексей:981.125, Колмаков Петр:984.755, Ярцев Александр:989.550, Гончаренко Сергей:991.225, Шунин Иван:1001.093, Шурыгин Егор:1001.225, Игнатов Владимир:1002.109, Селин Станислав:1009.503, Воронцов Денис:1006.399, Воронцов Денис:1006.399, Овсяников Денис:1004.933, Овсяников Денис:1004.933, Семенов Олег:1004.709, Семенов Олег:1004.709, Семенов Олег:1004.709, Воронцов Денис:1006.399, Телегин Антон:1010.190, Телегин Антон:1010.190, Малахов Алексей:1010.190,25
26, , Инина Марина:951.057, Рыжов Александр:979.817, Павлов Алексей:981.125, Обернихен Константин:987.512, Яник Петр:991.095, Анвартдинов Тимур:1000.882, Шунин Иван:1001.093, Шунин Иван:1001.093, Воронцов Денис:1006.399, Семенов Олег:1004.709, Семенов Олег:1004.709, Семенов Олег:1004.709, Семенов Олег:1004.709, Нестеренко Виталий:1003.347, Ковалев Александр:1004.416, Ковалев Александр:1004.416, Сергеев Влад:1005.854, Елисеев Борис:1009.657, Елисеев Борис:1009.657, Телегин Антон:1010.190,26
27, , , Ларин Филипп:979.536, Щербаков Григорий:980.323, Новикова Лилия:986.633, Ярцев Александр:989.550, Сизякин Артем:1000.358, Анвартдинов Тимур:1000.882, Елисеев Борис:1000.175, Семенов Олег:1004.709, Селин Станислав:1003.894, Селин Станислав:1003.894, Нестеренко Виталий:1003.347, Нестеренко Виталий:1003.347, Димитров Максим:1002.795, Смирнов Виктор:1004.038, Смирнов Виктор:1004.038, Семенов Олег:1004.709, Володин Антон:1009.164, Володин Антон:1009.164, Володин Антон:1009.041,27
28, , , Литвиненко Антон:972.524, Бушмакин Евгений:980.198, Чепрасов Дмитрий:985.183, Обернихен Константин:987.512, Елисеев Борис:1000.175, Елисеев Борис:1000.175, Селина Анна:999.428, Нестеренко Виталий:1003.347, Нестеренко Виталий:1003.347, Нестеренко Виталий:1003.347, Смирнов Виктор:1002.724, Смирнов Виктор:1002.724, Игнатов Владимир:1002.109, Овсяников Денис:1003.373, Овсяников Денис:1003.373, Смирнов Виктор:1004.038, Воронцов Денис:1006.399, Воронцов Денис:1006.399, Селин Станислав:1008.617,28
29, , , Инина Марина:951.057, Антонов Евгений:979.819, Щербаков Григорий:984.971, Новикова Лилия:986.633, Леньшин Егор:1000.048, Селина Анна:999.428, Сизякин Артем:997.194, Смирнов Виктор:1002.724, Смирнов Виктор:1002.724, Смирнов Виктор:1002.724, Игнатов Владимир:1002.109, Игнатов Владимир:1002.109, Никитин Сергей:1001.101, Нестеренко Виталий:1003.347, Нестеренко Виталий:1003.347, Овсяников Денис:1003.373, Сергеев Влад:1005.854, Сергеев Влад:1005.854, Воронцов Денис:1006.399,29
30, , , , Рыжов Александр:979.817, Пинчук Сергей:984.876, Чепрасов Дмитрий:985.183, Селина Анна:999.428, Ефремов Александр:994.635, Шурыгин Егор:994.691, Игнатов Владимир:1002.109, Игнатов Владимир:1002.109, Игнатов Владимир:1002.109, Никитин Сергей:1001.101, Никитин Сергей:1001.101, Шунин Иван:1001.093, Димитров Максим:1002.795, Димитров Максим:1002.795, Смирнов Михаил:1003.372, Семенов Олег:1004.709, Семенов Олег:1004.709, Сергеев Влад:1005.854,30
31, , , , Литвиненко Антон:972.524, Колмаков Петр:984.755, Павлов Алексей:981.125, Ефремов Александр:994.635, Леньшин Егор:994.500, Ефремов Александр:994.635, Шурыгин Егор:1001.803, Шурыгин Егор:1001.803, Селина Анна:1001.329, Шунин Иван:1001.093, Шунин Иван:1001.093, Смирнов Виктор:997.700, Игнатов Владимир:1002.109, Игнатов Владимир:1002.109, Нестеренко Виталий:1003.347, Смирнов Виктор:1004.038, Смирнов Виктор:1004.038, Семенов Олег:1004.709,31
32, , , , Ларин Филипп:963.113, Антонов Евгений:982.894, Бушмакин Евгений:980.198, Колмаков Петр:994.407, Колмаков Петр:994.407, Леньшин Егор:994.500, Шунин Иван:1001.093, Селина Анна:1001.329, Никитин Сергей:1001.101, Ярцев Александр:997.698, Володин Антон:997.192, Володин Антон:997.192, Никитин Сергей:1001.101, Шунин Иван:1001.093, Димитров Максим:1002.795, Овсяников Денис:1003.373, Овсяников Денис:1003.373, Смирнов Виктор:1004.038,32
33, , , , Инина Марина:951.057, Павлов Алексей:981.125, Рыжов Александр:979.817, Николаев Денис:993.102, Смирнов Виктор:993.988, Анвартдинов Тимур:991.145, Селина Анна:999.428, Никитин Сергей:1001.101, Шунин Иван:1001.093, Володин Антон:997.192, Ефремов Александр:994.635, Смирнов Михаил:996.586, Шунин Иван:1001.093, Смирнов Михаил:999.510, Игнатов Владимир:1002.109, Нестеренко Виталий:1003.347, Нестеренко Виталий:1003.347, Нестеренко Виталий:1003.347,33
34, , , , , Бушмакин Евгений:980.198, Смышляев Алексей:978.891, Смирнов Михаил:991.498, Николаев Денис:993.102, Яник Петр:991.095, Сизякин Артем:997.194, Шунин Иван:1001.093, Ярцев Александр:997.698, Шурыгин Егор:997.054, Селина Анна:993.502, Ефремов Александр:994.635, Смирнов Михаил:999.510, Володин Антон:997.979, Шунин Иван:1001.093, Димитров Максим:1002.795, Димитров Максим:1002.795, Димитров Максим:1002.795,34
35, , , , , Рыжов Александр:979.817, Ковалев Александр:975.806, Гончаренко Сергей:991.225, Ярцев Александр:992.498, Леонов Антон:990.100, Ефремов Александр:994.635, Сизякин Артем:997.194, Ефремов Александр:994.635, Ефремов Александр:994.635, Селин Станислав:992.711, Селина Анна:993.502, Володин Антон:997.192, Ефремов Александр:994.635, Володин Антон:997.979, Игнатов Владимир:1002.109, Игнатов Владимир:1002.109, Игнатов Владимир:1002.109,35
36, , , , , Смышляев Алексей:978.891, Пинчук Сергей:975.372, Яник Петр:991.095, Смирнов Михаил:991.498, Карташев Дмитрий:990.051, Кравченко Зевс:991.364, Ефремов Александр:994.635, Шурыгин Егор:992.864, Селина Анна:993.502, Кравченко Зевс:991.364, Шурыгин Егор:993.472, Ефремов Александр:994.635, Никитин Сергей:993.489, Амирханов Артем:994.969, Шунин Иван:1001.093, Шунин Иван:1001.093, Шунин Иван:1001.093,36
37, , , , , Ковалев Александр:972.886, Антонов Евгений:973.583, Леонов Антон:990.100, Яник Петр:991.095, Володин Антон:990.030, Анвартдинов Тимур:991.145, Кравченко Зевс:991.364, Кравченко Зевс:991.364, Селин Станислав:992.711, Анвартдинов Тимур:991.145, Селин Станислав:992.711, Селина Анна:993.502, Кравченко Зевс:991.364, Ефремов Александр:994.635, Шурыгин Егор:997.484, Овешников Андрей:998.604, Овешников Андрей:999.483,37
38, , , , , Литвиненко Антон:972.524, Литвиненко Антон:972.524, Карташев Дмитрий:990.051, Леонов Антон:990.100, Куклин Андрей:989.862, Яник Петр:991.095, Анвартдинов Тимур:991.145, Анвартдинов Тимур:991.145, Кравченко Зевс:991.364, Яник Петр:991.095, Кравченко Зевс:991.364, Селин Станислав:992.711, Анвартдинов Тимур:991.145, Никитин Сергей:993.489, Амирханов Артем:994.969, Амирханов Артем:994.969, Овсяников Денис:999.282,38
