, 2016-01-23, 2016-02-06_spb, 2016-02-27, 2016-03-19_spb, 2016-04-02_MOS_SC, 2016-04-30_MOS_Spring, 2016-05-28_MOS_Spring, 2016-06-11_SPB_Spring, 2016-06-25_MOS_Regional, 2016-08-06_MOS_Team, 2016-09-17, 2016-09-30_SPB_Summer, 2016-10-16_MOS_National,
32, , , , , Смирнов Антон:961.980, Щекотилов Андрей:963.257, Чердаков Евгений:958.186, Чердаков Евгений:958.186, Лазарев Константин:964.235, Щекотилов Андрей:963.257, Щекотилов Андрей:963.257, Годелашвили Александр:967.866, Ганихин Дмитрий:981.330,32
33, , , , , Парфиевич Дмитрий:960.297, Парфиевич Дмитрий:960.297, Парфиевич Дмитрий:953.976, Парфиевич Дмитрий:953.976, Щекотилов Андрей:963.257, Костинский Виктор:954.177, Костинский Виктор:954.177, Лазарев Константин:964.235, Поталицын Михаил:979.333,33
34, , , , , Ильичев Павел:946.782, Каракасиян Вания:947.923, Каракасиян Вания:953.156, Каракасиян Вания:953.156, Чердаков Евгений:958.186, Парфиевич Дмитрий:946.198, Парфиевич Дмитрий:946.198, Щекотилов Андрей:963.257, Гаврилов Андрей:977.895,34
35, , , , , , Ильичев Павел:946.782, Ильичев Павел:946.782, Хохлов Тимофей:946.745, Парфиевич Дмитрий:953.976, Хохлов Тимофей:943.277, Хохлов Тимофей:943.277, Костинский Виктор:954.177, Селин Олег:975.791,35
36, , , , , , , Хохлов Тимофей:946.745, Ильичев Павел:939.496, Хохлов Тимофей:943.277, Чердаков Евгений:937.197, Афанасьев Сергей:938.668, Парфиевич Дмитрий:946.198, Логинов Сергей:970.688,36
37, , , , , , , , , Ильичев Павел:918.861, Ильичев Павел:918.861, Бакаев Павел:937.526, Хохлов Тимофей:943.277, Годелашвили Александр:967.866,37
38, , , , , , , , , Каракасиян Вания:915.839, Каракасиян Вания:911.563, Чердаков Евгений:937.197, Афанасьев Сергей:938.668, Башмаков Денис:967.672,38
39, , , , , , , , , , , Ильичев Павел:918.861, Бакаев Павел:937.526, Лазарев Константин:964.235,39
40, , , , , , , , , , , Каракасиян Вания:917.539, Чердаков Евгений:937.197, Щекотилов Андрей:963.257,40
41, , , , , , , , , , , , Ильичев Павел:918.861, Хохлушина Наталья:961.147,41
42, , , , , , , , , , , , Каракасиян Вания:917.539, Костинский Виктор:954.177,42
43, , , , , , , , , , , , , Шурыгин Егор:943.793,43
44, , , , , , , , , , , , , Хохлов Тимофей:942.227,44
45, , , , , , , , , , , , , Бакаев Павел:938.187,45
46, , , , , , , , , , , , , Чердаков Евгений:937.197,46
47, , , , , , , , , , , , , Парфиевич Дмитрий:927.709,47
48, , , , , , , , , , , , , Каракасиян Вания:919.040,48
49, , , , , , , , , , , , , Ильичев Павел:918.861,49
